"case","model","n","d","spike","center","association_method","scaled_mean","mcse_scaled_mean","empirical_variance","mcse_variance","theoretical_variance"
"Well-separated","Mean shift","200","100","2.0","3.75","maximum normalized overlap among top 8","-1.3008103326887677","0.10965609099379056","12.024458292038474","0.5380191995580071","9.625"
"Well-separated","Covariance spike","200","100","3.0","4.666666666666667","maximum normalized overlap among top 8","1.0528249247515284","0.18332490035844476","33.6080190914337","1.5037483677976171","30.22222222222222"
"Well-separated","Mean shift","400","200","2.0","3.75","maximum normalized overlap among top 8","-1.1026848831476836","0.09998199077371688","9.996398479075605","0.44727622463759037","9.625"
"Well-separated","Covariance spike","400","200","3.0","4.666666666666667","maximum normalized overlap among top 8","1.2051827704686864","0.17436939429515735","30.40468566686005","1.3604192594794784","30.22222222222222"
"Well-separated","Mean shift","800","400","2.0","3.75","maximum normalized overlap among top 8","-0.8003477874217454","0.09833677939665578","9.670122182106542","0.4326774038120173","9.625"
"Well-separated","Covariance spike","800","400","3.0","4.666666666666667","maximum normalized overlap among top 8","0.9189086782837056","0.1735042131883834","30.10371199412","1.3469525726181792","30.22222222222222"
"Near-critical","Mean shift","200","100","0.9","2.9555555555555553","maximum normalized overlap among top 8","-1.220594321890943","0.09847658517376019","9.697637827484847","0.433908556612602","2.525925925925926"
"Near-critical","Covariance spike","200","100","1.15","3.0847826086956522","maximum normalized overlap among top 8","-0.19313885197247244","0.1072162514994844","11.49532458560069","0.5143437801517698","5.749725897920604"
"Near-critical","Mean shift","400","200","0.9","2.9555555555555553","maximum normalized overlap among top 8","-1.0019547334025125","0.0850128477025539","7.227184274497624","0.323371232531777","2.525925925925926"
"Near-critical","Covariance spike","400","200","1.15","3.0847826086956522","maximum normalized overlap among top 8","0.3832912769319372","0.09546426258035705","9.11342543001136","0.40776871073957316","5.749725897920604"
"Near-critical","Mean shift","800","400","0.9","2.9555555555555553","maximum normalized overlap among top 8","-0.7713541984719519","0.07346859008972105","5.397633729771457","0.24151030410423815","2.525925925925926"
"Near-critical","Covariance spike","800","400","1.15","3.0847826086956522","maximum normalized overlap among top 8","0.40857514493981306","0.08673988046207651","7.523806862575321","0.33664323560521714","5.749725897920604"

